Size,0.8m,1.0m,1.2m,1.4m,1.6m,1.8m,2.0m
125x70x4,6.75,6.33,5.27,4.52,3.95,3.51,3.02
140x70x4,6.75,7.81,6.51,5.58,4.88,4.34,3.9
150x70x4,6.75,8.88,7.4,6.34,5.55,4.93,4.44
130x70x6,6.75,9,8.74,7.49,6.55,5.83,5.05
170x70x4,6.75,9,9.33,8,7,6.22,5.6
160x70x5,6.75,9,10.59,9.07,7.94,7.06,6.35
150x70x6,6.75,9,11.25,9.79,8.57,7.61,6.85
170x70x5,6.75,9,11.25,10.15,8.88,7.9,7.11
180x70x5,6.75,9,11.25,11.29,9.88,8.78,7.9
150x80x8,6.75,9,11.25,13.5,13.13,11.06,9.47
185x70x6,6.75,9,11.25,13.5,12.66,11.25,10.13
170x80x8,6.75,9,11.25,13.5,15.75,14.57,12.52
180x80x8,6.75,9,11.25,13.5,15.75,16.49,14.19
