Size,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m
125x70x4,9.3,7.8,6.6,5.1,4,3.2,2.7,2.3
140x70x4,11.5,9.6,8.2,6.9,5.4,4.4,3.6,3.1
130x70x6,14.8,12.3,10.6,8.2,6.5,5.2,4.3,3.6
155x70x4,13.9,11.6,10,8.7,7.2,5.8,4.8,4
170x70x4,16.5,13.8,11.8,10.3,9.2,7.4,6.2,5.2
150x70x6,19.3,16.1,13.8,12.1,9.5,7.7,6.4,5.4
160x70x6,21.8,18.1,15.6,13.6,11.4,9.2,7.6,6.4
185x70x4,19.3,16.1,13.8,12.1,10.7,9.4,7.7,6.5
150x80x8,24.8,21.5,18.4,16.1,12.9,10.4,8.6,7.2
185x70x5,24,20,17.1,15,13.3,11.5,9.5,8
160x80x8,24.8,24.3,20.8,18.2,15.3,12.4,10.3,8.6
200x70x5,24.8,23.1,19.8,17.3,15.4,13.8,11.8,9.9
